page_url,h1,first_paragraph,outgoing_link_urls,image_urls
https://blog.boot.dev/,Boot.dev Blog,"We’re off to an incredible start to 2026. December of 2025 broke a new record with 3,075,904 lessons completed and 82,578 training grounds challenges completed during the month! In January, I’m writing this on the 13th, and we’re already at 1,657,581 lessons and 47,795 challenges - so it’s looking like this is going to be a monster month. Best of luck to you all in the contest of the resolute.",https://www.boot.dev;https://www.boot.dev/tracks/backend;https://www.boot.dev/tracks/backend-python-golang;https://www.boot.dev/tracks/backend-python-typescript;https://www.boot.dev/training;https://www.boot.dev/pricing;https://www.boot.dev/gifts;https://www.boot.dev/redeem;https://www.boot.dev/teams;https://www.boot.dev/community;https://www.youtube.com/@bootdotdev;https://www.backendbanter.fm/;https://www.boot.dev/lore;https://blog.boot.dev/;https://www.boot.dev/leaderboard;https://www.boot.dev;https://www.boot.dev/tracks/backend;https://www.boot.dev/tracks/backend-python-golang;https://www.boot.dev/tracks/backend-python-typescript;https://www.boot.dev/training;https://www.boot.dev/pricing;https://www.boot.dev/gifts;https://www.boot.dev/redeem;https://www.boot.dev/teams;https://www.boot.dev/community;https://www.youtube.com/@bootdotdev;https://www.backendbanter.fm/;https://www.boot.dev/lore;https://blog.boot.dev/;https://www.boot.dev/leaderboard;https://blog.boot.dev/news/bootdev-beat-2026-01/;https://blog.boot.dev/news/bootdev-beat-2025-12/;https://blog.boot.dev/jobs/supply-demand-broken-programming-education/;https://blog.boot.dev/news/bootdev-beat-2025-11/;https://blog.boot.dev/education/vibe-coding-hell/;https://blog.boot.dev/news/bootdev-beat-2025-10/;https://blog.boot.dev/news/bootdev-beat-2025-09/;https://blog.boot.dev/create-a-course/;https://blog.boot.dev/news/training-grounds-launch/;https://blog.boot.dev/news/bootdev-beat-2025-08/;https://blog.boot.dev/news/hackathon-2025/;https://blog.boot.dev/news/bootdev-beat-2025-07/;https://blog.boot.dev/news/bootdev-beat-2025-06/;https://blog.boot.dev/education/is-boot-dev-free/;https://blog.boot.dev/news/bootdev-beat-2025-05/;https://blog.boot.dev/news/bootdev-beat-2025-04/;https://blog.boot.dev/news/bootdev-beat-2025-03/;https://blog.boot.dev/news/bootdev-beat-2025-02/;https://blog.boot.dev/computer-science/18-months-with-gpt-4/;https://blog.boot.dev/news/bootdev-beat-2025-01/;https://blog.boot.dev/tutorials/python/lists/;https://blog.boot.dev/tutorials/python/loops/;https://blog.boot.dev/tutorials/python/functions/;https://blog.boot.dev/tutorials/python/variables/;https://blog.boot.dev/news/bootdev-beat-2024-12/;https://blog.boot.dev/page/2/;https://blog.boot.dev/categories/;https://blog.boot.dev/contact/;https://www.boot.dev/playground/go;https://blog.boot.dev/about/;https://twitter.com/bootdotdev;https://youtube.com/@bootdotdev;https://backendbanter.fm/;https://www.linkedin.com/school/bootdotdev;https://www.boot.dev;https://blog.boot.dev/sitemap.xml;https://blog.boot.dev/index.xml;https://blog.boot.dev/faq/;https://blog.boot.dev/terms/;https://blog.boot.dev/privacy/,https://blog.boot.dev/img/300/bootdev-logo-full-small.png;https://blog.boot.dev/img/800/newsletter_heading.png.webp;https://blog.boot.dev/img/800/newsletter_heading.png.webp;https://blog.boot.dev/img/800/boots-christmas.png.webp;https://blog.boot.dev/img/800/boots-christmas.png.webp;https://blog.boot.dev/img/800/gemsonscales.png.webp;https://blog.boot.dev/img/800/gemsonscales.png.webp;https://blog.boot.dev/img/800/bootdevbeatnovember.png.webp;https://blog.boot.dev/img/800/bootdevbeatnovember.png.webp;https://blog.boot.dev/img/800/vibecodehell.png.webp;https://blog.boot.dev/img/800/vibecodehell.png.webp;https://blog.boot.dev/img/800/pythogoras.webp.webp;https://blog.boot.dev/img/800/pythogoras.webp.webp;https://blog.boot.dev/img/800/bootssalmonhoney.webp.webp;https://blog.boot.dev/img/800/bootssalmonhoney.webp.webp;https://blog.boot.dev/img/800/handwriting.png.webp;https://blog.boot.dev/img/800/handwriting.png.webp;https://blog.boot.dev/img/800/traininggroundsscreenshot.png.webp;https://blog.boot.dev/img/800/traininggroundsscreenshot.png.webp;https://blog.boot.dev/img/800/bootsaugust.png.webp;https://blog.boot.dev/img/800/bootsaugust.png.webp;https://blog.boot.dev/img/800/bootsbackend.png.webp;https://blog.boot.dev/img/800/bootsbackend.png.webp;https://blog.boot.dev/img/800/bootsstandinggold.png.webp;https://blog.boot.dev/img/800/bootsstandinggold.png.webp;https://blog.boot.dev/img/800/412509565-af264412-8653-4409-94b1-1da5a3251503.png.webp;https://blog.boot.dev/img/800/412509565-af264412-8653-4409-94b1-1da5a3251503.png.webp;https://blog.boot.dev/img/800/ruinreborn_fantasy_art_purse_cut_cut_purse_cut_purse_spilling_7863ce44-bff3-474e-abd8-3dd6579172d0_1.png.webp;https://blog.boot.dev/img/800/ruinreborn_fantasy_art_purse_cut_cut_purse_cut_purse_spilling_7863ce44-bff3-474e-abd8-3dd6579172d0_1.png.webp;https://blog.boot.dev/img/800/bootssketches.png.webp;https://blog.boot.dev/img/800/bootssketches.png.webp;https://blog.boot.dev/img/800/bootscrystal.png.webp;https://blog.boot.dev/img/800/bootscrystal.png.webp;https://blog.boot.dev/img/800/bootsmarch.png.webp;https://blog.boot.dev/img/800/bootsmarch.png.webp;https://blog.boot.dev/img/800/bootsreadingabook.png.webp;https://blog.boot.dev/img/800/bootsreadingabook.png.webp;https://blog.boot.dev/img/800/golemnumber2.png.webp;https://blog.boot.dev/img/800/golemnumber2.png.webp;https://blog.boot.dev/img/800/bootsandsky.png.webp;https://blog.boot.dev/img/800/bootsandsky.png.webp;https://blog.boot.dev/img/800/wagslane_snakes_all_slithering_in_a_line__studio_ghibli_anime_92c11046-1c25-44da-a9df-550614ab5404_0.png.webp;https://blog.boot.dev/img/800/wagslane_snakes_all_slithering_in_a_line__studio_ghibli_anime_92c11046-1c25-44da-a9df-550614ab5404_0.png.webp;https://blog.boot.dev/img/800/loopsinthesky.png.webp;https://blog.boot.dev/img/800/loopsinthesky.png.webp;https://blog.boot.dev/img/800/functionsinpythonscreen.png.webp;https://blog.boot.dev/img/800/functionsinpythonscreen.png.webp;https://blog.boot.dev/img/800/symbolsonboard.png.webp;https://blog.boot.dev/img/800/symbolsonboard.png.webp;https://blog.boot.dev/img/800/bootsdecember2024.png.webp;https://blog.boot.dev/img/800/bootsdecember2024.png.webp;https://blog.boot.dev/img/300/bootdev-logo-full-small.png
https://blog.boot.dev/news/bootdev-beat-2026-01/,,,,
https://blog.boot.dev/news/bootdev-beat-2025-12/,,,,
https://blog.boot.dev/jobs/supply-demand-broken-programming-education/,,,,
https://blog.boot.dev/news/bootdev-beat-2025-11/,,,,
https://blog.boot.dev/education/vibe-coding-hell/,,,,
https://blog.boot.dev/news/bootdev-beat-2025-10/,,,,
https://blog.boot.dev/news/bootdev-beat-2025-09/,,,,
https://blog.boot.dev/create-a-course/,,,,
https://blog.boot.dev/news/training-grounds-launch/,,,,
